Author,tweet_id,Content,tweet_text_lower,cybercrime_flag
user_001,1,Police warning about a surge in social engineering attacks targeting remote workers.,police warning about a surge in social engineering attacks targeting remote workers.,TRUE
user_001,2,He was scammed by someone pretending to be Apple Support via phone.,he was scammed by someone pretending to be apple support via phone.,TRUE
user_001,3,"Just got an email asking for my password. Looked like my bank, but it's a phishing scam.","just got an email asking for my password. looked like my bank, but it's a phishing scam.",TRUE
user_001,4,Hackers leaked private data from the healthcare app—thousands affected.,hackers leaked private data from the healthcare app—thousands affected.,TRUE
user_001,5,They’re selling stolen credit card numbers through a Telegram bot!,they’re selling stolen credit card numbers through a telegram bot!,TRUE
user_001,6,Saw someone offering hacked Netflix accounts on the dark web.,saw someone offering hacked netflix accounts on the dark web.,TRUE
user_001,7,"Got blackmailed online after a video call. Be cautious, people.","got blackmailed online after a video call. be cautious, people.",TRUE
user_001,8,Police warning about a surge in social engineering attacks targeting remote workers.,police warning about a surge in social engineering attacks targeting remote workers.,TRUE
user_001,9,Received a suspicious attachment in an email claiming to be my resume feedback.,received a suspicious attachment in an email claiming to be my resume feedback.,TRUE
user_001,10,They’re selling stolen credit card numbers through a Telegram bot!,they’re selling stolen credit card numbers through a telegram bot!,TRUE
user_001,11,Someone tried to brute force into my admin panel last night!,someone tried to brute force into my admin panel last night!,TRUE
user_001,12,Dark web markets are booming with illegal exploits and zero-days.,dark web markets are booming with illegal exploits and zero-days.,TRUE
user_001,13,"Just got an email asking for my password. Looked like my bank, but it's a phishing scam.","just got an email asking for my password. looked like my bank, but it's a phishing scam.",TRUE
user_001,14,Scammers are using fake job offers to steal personal information online.,scammers are using fake job offers to steal personal information online.,TRUE
user_001,15,"Got blackmailed online after a video call. Be cautious, people.","got blackmailed online after a video call. be cautious, people.",TRUE
user_001,16,Got a weird link from someone I don't know. Turned out to be a malware site.,got a weird link from someone i don't know. turned out to be a malware site.,TRUE
user_001,17,Received a suspicious attachment in an email claiming to be my resume feedback.,received a suspicious attachment in an email claiming to be my resume feedback.,TRUE
user_001,18,He was scammed by someone pretending to be Apple Support via phone.,he was scammed by someone pretending to be apple support via phone.,TRUE
user_001,19,Scammers are using fake job offers to steal personal information online.,scammers are using fake job offers to steal personal information online.,TRUE
user_001,20,Saw someone offering hacked Netflix accounts on the dark web.,saw someone offering hacked netflix accounts on the dark web.,TRUE
user_001,21,Got a text pretending to be from my mobile provider. Classic smishing attempt!,got a text pretending to be from my mobile provider. classic smishing attempt!,TRUE
user_001,22,My friend's Instagram account was hacked and they're asking people for money.,my friend's instagram account was hacked and they're asking people for money.,TRUE
user_001,23,Fake customer support tried to remote into my laptop. Total scam!,fake customer support tried to remote into my laptop. total scam!,TRUE
user_001,24,"Got blackmailed online after a video call. Be cautious, people.","got blackmailed online after a video call. be cautious, people.",TRUE
user_001,25,Received a suspicious attachment in an email claiming to be my resume feedback.,received a suspicious attachment in an email claiming to be my resume feedback.,TRUE
user_001,26,Got a text pretending to be from my mobile provider. Classic smishing attempt!,got a text pretending to be from my mobile provider. classic smishing attempt!,TRUE
user_001,27,They’re selling stolen credit card numbers through a Telegram bot!,they’re selling stolen credit card numbers through a telegram bot!,TRUE
user_001,28,"Just got an email asking for my password. Looked like my bank, but it's a phishing scam.","just got an email asking for my password. looked like my bank, but it's a phishing scam.",TRUE
